scene,timestamp,cam,name,level,severity,source,inherited_from
scene_0,1782614166.792776108,cam0,1782614166.792776108.png,1,轻度,manual,
scene_0,1782614167.049891949,cam0,1782614167.049891949.png,1,轻度,inherited,1782614166.792776108
scene_0,1782614167.311052799,cam0,1782614167.311052799.png,1,轻度,inherited,1782614167.049891949
scene_0,1782614167.577645302,cam0,1782614167.577645302.png,1,轻度,inherited,1782614167.311052799
scene_0,1782614167.836768389,cam0,1782614167.836768389.png,1,轻度,inherited,1782614167.577645302
scene_0,1782614168.108396292,cam0,1782614168.108396292.png,1,轻度,inherited,1782614167.836768389
scene_0,1782614168.372770548,cam0,1782614168.372770548.png,1,轻度,inherited,1782614168.108396292
scene_0,1782614168.623686552,cam0,1782614168.623686552.png,1,轻度,inherited,1782614168.372770548
scene_0,1782614168.875208855,cam0,1782614168.875208855.png,1,轻度,inherited,1782614168.623686552
scene_0,1782614169.128047466,cam0,1782614169.128047466.png,1,轻度,inherited,1782614168.875208855
scene_0,1782614169.128047466,cam5,1782614169.128047466.png,1,轻度,manual,
scene_0,1782614169.388037205,cam0,1782614169.388037205.png,1,轻度,inherited,1782614169.128047466
scene_0,1782614169.388037205,cam5,1782614169.388037205.png,1,轻度,manual,
scene_0,1782614169.642659903,cam0,1782614169.642659903.png,1,轻度,inherited,1782614169.388037205
scene_0,1782614169.642659903,cam5,1782614169.642659903.png,1,轻度,manual,
scene_0,1782614169.898872375,cam0,1782614169.898872375.png,1,轻度,inherited,1782614169.642659903
scene_0,1782614169.898872375,cam5,1782614169.898872375.png,1,轻度,manual,
scene_0,1782614170.154638052,cam0,1782614170.154638052.png,1,轻度,inherited,1782614169.898872375
scene_0,1782614170.154638052,cam5,1782614170.154638052.png,1,轻度,inherited,1782614169.898872375
scene_0,1782614170.411935806,cam0,1782614170.411935806.png,1,轻度,inherited,1782614170.154638052
scene_0,1782614170.411935806,cam5,1782614170.411935806.png,1,轻度,inherited,1782614170.154638052
scene_0,1782614170.666518688,cam0,1782614170.666518688.png,1,轻度,inherited,1782614170.411935806
scene_0,1782614170.666518688,cam5,1782614170.666518688.png,1,轻度,inherited,1782614170.411935806
scene_0,1782614170.919541121,cam0,1782614170.919541121.png,1,轻度,inherited,1782614170.666518688
scene_0,1782614170.919541121,cam5,1782614170.919541121.png,1,轻度,inherited,1782614170.666518688
scene_0,1782614171.174172878,cam5,1782614171.174172878.png,1,轻度,inherited,1782614170.919541121
scene_0,1782614171.428716660,cam5,1782614171.428716660.png,1,轻度,inherited,1782614171.174172878
scene_0,1782614171.680769920,cam5,1782614171.680769920.png,1,轻度,inherited,1782614171.428716660
scene_0,1782614171.930434227,cam5,1782614171.930434227.png,1,轻度,inherited,1782614171.680769920
scene_0,1782614172.187997818,cam4,1782614172.187997818.png,1,轻度,manual,
scene_0,1782614172.187997818,cam5,1782614172.187997818.png,1,轻度,inherited,1782614171.930434227
scene_0,1782614172.441950798,cam4,1782614172.441950798.png,1,轻度,inherited,1782614172.187997818
scene_0,1782614172.441950798,cam5,1782614172.441950798.png,1,轻度,inherited,1782614172.187997818
scene_0,1782614172.697194099,cam4,1782614172.697194099.png,1,轻度,inherited,1782614172.441950798
scene_0,1782614172.697194099,cam5,1782614172.697194099.png,1,轻度,inherited,1782614172.441950798
scene_0,1782614172.955494642,cam4,1782614172.955494642.png,1,轻度,inherited,1782614172.697194099
scene_0,1782614172.955494642,cam5,1782614172.955494642.png,1,轻度,inherited,1782614172.697194099
scene_0,1782614173.211006880,cam4,1782614173.211006880.png,1,轻度,inherited,1782614172.955494642
scene_0,1782614173.465247869,cam4,1782614173.465247869.png,1,轻度,inherited,1782614173.211006880
scene_0,1782614173.718294144,cam4,1782614173.718294144.png,1,轻度,inherited,1782614173.465247869
scene_0,1782614173.968333721,cam4,1782614173.968333721.png,1,轻度,inherited,1782614173.718294144
scene_0,1782614174.221524954,cam4,1782614174.221524954.png,1,轻度,inherited,1782614173.968333721
scene_0,1782614174.470330238,cam3,1782614174.470330238.png,1,轻度,manual,
